"Tarih","PM10","SO2","NO2","O3"
"2020/4/13","38.81215","74.0411","27.20352",
"2020/4/13","47.74591","73.88077","29.65177","41.49611"
"2020/4/13","40.18721","74.52803","33.17781","40.79889"
"2020/4/12","30.2454","77.15736","37.96648","53.03278"
"2020/4/12","18.34809","77.84158","34.83527","68.84222"
"2020/4/12","23.84451","75.25066","33.45909","70.12444"
"2020/4/12","26.91501","73.27118","25.35435","82.25069"
"2020/4/12","27.97171","73.58891","20.54228","90.90945"
"2020/4/12","36.75501","74.0363","16.26825","98.93931"
"2020/4/12","43.81493","80.34678","27.88989","97.94024"
"2020/4/12","36.20827","81.53159","17.24675","104.8057"
"2020/4/12","42.82178","81.73959","13.74069","101.4385"
"2020/4/12","46.89235","82.70273","13.58892","104.9937"
"2020/4/12","37.26989","87.11352","19.6157","91.07624"
"2020/4/12","43.81161","87.67508","26.02475","70.73966"
"2020/4/12","44","93.39001","26.05042","68.50611"
"2020/4/12","40.10608","87.60896","28.02455","63.09333"
"2020/4/12","31.22566","77.42115","27.72957","51.85833"
"2020/4/12","25.14571","73.64801","27.77065","41.49278"
"2020/4/12","35.7027","73.79579","20.58736","47.34611"
"2020/4/12","36.97247","74.02411","18.89794","48.63722"
"2020/4/12","41.85981","73.75404","23.28551","47.87389"
"2020/4/12","46.87735","73.82904","24.00042","49.25555"
"2020/4/12","47.97309","72.91615","32.01558","40.40445"
"2020/4/12","52.86486","73.11011",,"41.14957"
"2020/4/12","40.37143","72.84484","43.41778",
"2020/4/12","54.63572","72.94274","49.33479","41.10167"
"2020/4/11","57.9119","73.05431","58.80487","43.60056"
"2020/4/11","43.41991","72.2589","71.03246","36.24833"
"2020/4/11","27.4204","72.63943","56.36176","56.76667"
"2020/4/11","27.97565","73.08313","27.30964","99.02611"
"2020/4/11","32.86544","73.61476","16.64482","110.1361"
"2020/4/11","39.81188","74.14639","29.35109","104.7056"
"2020/4/11","43.8922","76.88102","41.52218","97.63889"
"2020/4/11","57.6227","75.55582","35.47258","111.7617"
"2020/4/11","54.10765","83.40836","37.84894","130.1567"
"2020/4/11","66.64964","105.858","47.7224","96"
"2020/4/11","58.23615","120.3853","71.69087","67.93631"
"2020/4/11","60.91818","107.7887","52.57099","71.42167"
"2020/4/11","61.97352","85.85741","52.81975","58.84111"
"2020/4/11","60.05296","89.37342","68.4136","41.44667"
"2020/4/11","47.34477","75.58833","54.17425","41.37111"
"2020/4/11","37.27068","73.81685","43.10718","35.29667"
"2020/4/11","39.91915","73.40972","39.74604","31.21167"
"2020/4/11","44.86351","72.99225","48.9879","20.54667"
"2020/4/11","42.08225","73.39568","37.73141","32.23389"
"2020/4/11","47.84615","73.2021","40.03816","33.22"
"2020/4/11","42.16147","73.63509","44.32931","29.44722"
"2020/4/11","50.75745","73.45442","42.47044","33.82722"
"2020/4/11","51","73.21461","47.28565","30.16174"
"2020/4/11","51","72.55704","53.68642",
"2020/4/10","63.97163","72.72477","59.31723","23.86574"
"2020/4/10","27.94602","72.70409","77.36048","23.16278"
"2020/4/10","20.17872","74.25095","78.63568","45.43081"
"2020/4/10","21.94342","73.2516","43.03529","81.03389"
"2020/4/10","26.85876","73.84271","39.78769","78.46111"
"2020/4/10","27","74.83762","38.58096","75.53722"
"2020/4/10","38.67706","75.72356","30.996","83.53722"
"2020/4/10","27.32295","76.62647","36.3307","79.24277"
"2020/4/10","32.83876","79.42908","29.63637","91.55334"
"2020/4/10","33","84.10507","36.77343","84.4406"
"2020/4/10","51.48207","74.66214","35.52336",
"2020/4/10","51.02786","71.84106","33.03631",
"2020/4/10","39.31776","73.20542","37.88774",
"2020/4/10","36.08411","74.05699","30.36211",
"2020/4/10","36","75.22776","34.97791",
"2020/4/10","15.56676","75.35706","44.17583",
"2020/4/10","24.7305","74.58751","20.17484",
"2020/4/10","17.21591","74.44712","17.03508",
"2020/4/10","23.81108","74.29417","15.9339",
"2020/4/10","26.91915","74.60081","19.4394",
"2020/4/10","34.77305","74.19221","27.30622",
"2020/4/10","36.9461","73.15887","26.51086",
"2020/4/10","38.9461","73.56415","30.83739",
"2020/4/10","36.08424","72.67933",,
"2020/4/9","28.23457","72.33575","49.52593",
"2020/4/9","39.64977","71.58651","39.80195",
"2020/4/9","30.26627","71.11732","57.22501",
"2020/4/9","26.10465","70.9773","40.14029",
"2020/4/9","33.78223","70.87755","29.59928",
"2020/4/9","23.31206","71.22594","24.97835",
"2020/4/9","16.19802","70.58791","16.2226",
"2020/4/9","24.74468","70.08324","14.08302",
"2020/4/9","27.90826","70.63187","13.73156",
"2020/4/9","28","70.38618","12.40844",
"2020/4/9","27.02795","70.43385","13.5661",
"2020/4/9","27.97205","70.73199","13.37667",
"2020/4/9","27.02648","71.67223","13.14674",
"2020/4/9","26.02808","72.18317","16.96376",
"2020/4/9","23.08438","71.85399","20.60618",
"2020/4/9","18.1326","71.84291","14.99477",
"2020/4/9","13.14019","71.78084","13.96378",
"2020/4/9","24.69099","71.98256","7.413798",
"2020/4/9","24.02829","72.35607","8.46248",
"2020/4/9","24","72.30028","10.35844",
"2020/4/9","21.08511","72.33205","13.88333",
"2020/4/9","30.71671","72.27331","23.57535",
"2020/4/9","30.02833","72.70556","23.6073",
"2020/4/9","22.20455","71.50413","23.42188",
"2020/4/8","24.91501","71.78195",,
"2020/4/8","21.11331","71.43836","23.88859",
"2020/4/8","20.02886","71.69587","14.24563",
"2020/4/8","20.97167","70.71536","15.41641",
"2020/4/8","31.68794","70.80366","13.94837",
"2020/4/8","35.88652","70.40392","14.6028",
"2020/4/8","36.97163","70.05258","13.78462",
"2020/4/8","44.77305","70.2761","14.43448",
"2020/4/8","35.28369","69.8516","16.29963",
"2020/4/8","41.80114","70.39912","14.5486",
"2020/4/8","41.02837","70.40318","16.78232",
"2020/4/8","41.97006","71.04639","17.5326",
"2020/4/8","44.91149","71.83515","18.7399",
"2020/4/8","37.23676","71.55105","21.2104",
"2020/4/8","29.23639","71.97259","26.10748",
"2020/4/8","27.0591","72.28181","31.79763",
"2020/4/8","21.17729","72.15287","19.47135",
"2020/4/8","31.69159","71.75793","15.4107",
"2020/4/8","18.39252","71.73503","15.12029",
"2020/4/8","32.57878","71.79266","12.05013",
"2020/4/8","31.0591","72.00251","18.05808",
"2020/4/8","29.0591","71.86803","20.26556",
"2020/4/8","28.03106","72.11186","22.67216",
"2020/4/8","22.15913","71.71915","18.482",
"2020/4/7","26.85225","71.46793","14.95654",
"2020/4/7","24.09302","71.7365",,
"2020/4/7","24.97045","70.62485","19.06739",
"2020/4/7","24.02799","70.44456","17.29924",
"2020/4/7","31.77143","70.46045","15.89054",
"2020/4/7","31.03106","70.19149","16.66193",
"2020/4/7","36.82979","70.51845","15.86943",
"2020/4/7","41.85106","70.21439","16.00694",
"2020/4/7","44.91477","70.16157","14.002",
"2020/4/7","34.3125","69.66356","13.3122",
"2020/4/7","40.80114","69.55753","14.79165",
"2020/4/7","37.11364","70.26871","15.9921",
"2020/4/7","36.02845","71.95152","13.95921",
"2020/4/7","33.08949","72.55815","19.49075",
"2020/4/7","34.94302","72.61283","26.60443",
"2020/4/7","35.97151","72.3339","28.85642",
"2020/4/7","26.2983","72.65384","23.62842",
"2020/4/7","37.65861","72.24856","15.63436",
"2020/4/7","28.28409","72.05238","8.395154",
"2020/4/7","29.94318","72.41185","8.662174",
"2020/4/7","31.94302","72.05682","13.7036",
"2020/4/7","36.86238","72.38525","16.02177",
"2020/4/7","40.88785","72.19868","14.10413",
"2020/4/7","38.07704","71.49416","18.50597",
"2020/4/6","38.97021","72.81306","14.47271",
"2020/4/6","36.08936","72.93868","18.65602",
"2020/4/6","30.17923","72.39707",,
"2020/4/6","38.7235","72.5552","18.66173",
"2020/4/6","33.17757","71.78416","23.63869",
"2020/4/6","39.80343","71.85954","30.54811",
"2020/4/6","43.8875","71.68663","35.70251",
"2020/4/6","46.90749","71.8067","56.11242",
"2020/4/6","44.08936","71.48787","63.76529",
"2020/4/6","36.22326","71.77789","34.2978",
"2020/4/6","52.5191","72.40262","37.00395",
"2020/4/6","35.50991","72.35201","48.52689",
"2020/4/6","28.20881","72.60396","24.98348",
"2020/4/6","27.02979","73.04877","21.47001",
"2020/4/6","22.14894","73.34655","16.9455",
"2020/4/6","13.26809","73.00555","14.30212",
"2020/4/6","30.48864","72.60433","14.38827",
"2020/4/6","38.76237","72.3158","13.77949",
"2020/4/6","44.82153","72.80605","13.18154",
"2020/4/6","48.87773","71.92825","8.533228",
"2020/4/6","33.49536","71.92714","8.416835",
"2020/4/6","35.91135","71.81483","9.715991",
"2020/4/6","27.26147","71.51485","11.4539",
"2020/4/6","26.02571","71.70806","11.06649",
"2020/4/5","27.94043","71.75941","15.91051",
"2020/4/5","25.08924","71.42322","16.20206",
"2020/4/5","28.88085","71.8684","14.34833",
"2020/4/5","21.2383","72.00768",,
"2020/4/5","32.64357","71.38628","18.60296",
"2020/4/5","25.22727","71.05008","19.99797",
"2020/4/5","26.94","71.23665","21.58754",
"2020/4/5","26.03226","71.34379","29.91366",
"2020/4/5","27.94062","70.93075","20.68321",
"2020/4/5","32.84399","71.24329","19.78173",
